Box,Test,n1,n2,n3,n4,Lotnumber
120.0,1.0,101.74,101.77,101.86,101.71,3158974
120.0,2.0,101.84,101.68,101.76,101.67,3158974
120.0,3.0,101.96,101.9,101.89,101.99,3158974
120.0,4.0,101.97,101.86,101.97,101.99,3158974
120.0,5.0,101.82,101.83,101.88,101.84,3158974
120.0,6.0,102.01,102.01,101.98,101.98,3158974
120.0,7.0,101.83,101.78,101.78,101.84,3158974
120.0,8.0,101.83,101.65,101.84,101.6,3158974
120.0,9.0,101.9,101.97,101.94,101.99,3158974
43.0,1.0,101.74,101.76,101.85,101.87,3158974
43.0,2.0,102.02,102.02,101.97,102.11,3158974
43.0,3.0,102.01,101.78,102.01,101.79,3158974
43.0,4.0,101.97,101.97,102.11,102.07,3158974
43.0,5.0,101.89,101.81,101.94,101.82,3158974
43.0,6.0,102.0,101.99,102.03,102.05,3158974
43.0,7.0,101.8,101.81,102.0,101.87,3158974
43.0,8.0,101.87,101.83,101.91,101.75,3158974
43.0,9.0,101.89,101.91,101.93,101.92,3158974
102.0,1.0,101.7,101.85,101.77,101.89,3158974
102.0,2.0,102.05,102.0,101.89,102.1,3158974
102.0,3.0,101.92,101.81,101.96,101.87,3158974
102.0,4.0,101.86,101.87,101.96,101.93,3158974
102.0,5.0,101.89,101.79,101.92,101.81,3158974
102.0,6.0,102.08,101.86,101.89,101.94,3158974
102.0,7.0,101.89,101.79,101.98,101.96,3158974
102.0,8.0,101.93,101.93,101.89,101.88,3158974
102.0,9.0,101.9,101.79,101.71,101.82,3158974
105.0,1.0,101.64,101.78,101.64,101.72,3158974
105.0,2.0,101.85,102.01,101.99,101.79,3158974
105.0,3.0,101.96,101.85,101.75,101.81,3158974
105.0,4.0,101.79,101.81,101.82,101.69,3158974
105.0,5.0,101.8,101.8,101.87,101.97,3158974
105.0,6.0,101.76,101.76,101.77,101.89,3158974
105.0,7.0,101.98,101.86,101.9,101.97,3158974
105.0,8.0,101.81,101.77,101.68,101.78,3158974
105.0,9.0,101.9,101.92,101.75,101.95,3158974
35.0,1.0,101.71,101.71,101.68,101.74,3158974
35.0,2.0,102.0,101.96,101.9,101.96,3158974
35.0,3.0,101.93,102.07,101.91,101.94,3158974
35.0,4.0,101.82,101.91,101.75,101.82,3158974
35.0,5.0,102.02,101.82,102.02,101.81,3158974
35.0,6.0,101.88,101.92,101.84,101.96,3158974
35.0,7.0,101.94,101.79,101.82,101.95,3158974
35.0,8.0,102.0,101.97,102.03,101.89,3158974
35.0,9.0,101.86,101.86,101.78,101.84,3158974
5.0,1.0,102.0,101.82,101.78,101.8,3158974
5.0,2.0,102.04,101.88,101.88,101.86,3158974
5.0,3.0,101.96,101.9,101.84,101.94,3158974
5.0,4.0,101.84,101.89,101.9,101.9,3158974
5.0,5.0,101.83,101.95,101.81,101.83,3158974
5.0,6.0,101.96,101.79,101.84,101.75,3158974
5.0,7.0,102.04,101.87,101.91,102.05,3158974
5.0,8.0,101.86,101.92,101.91,101.96,3158974
5.0,9.0,101.93,101.9,101.92,101.88,3158974
45.0,1.0,101.97,101.83,101.99,101.78,3158974
45.0,2.0,101.72,101.75,101.84,101.93,3158974
45.0,3.0,101.69,101.82,101.77,101.7,3158974
45.0,4.0,101.8,101.68,101.71,101.68,3158974
45.0,5.0,102.01,101.86,102.07,101.88,3158974
45.0,6.0,101.85,101.81,101.83,101.91,3158974
45.0,7.0,101.81,101.9,101.78,101.73,3158974
45.0,8.0,101.74,101.84,101.73,101.93,3158974
45.0,9.0,102.05,101.84,102.04,101.89,3158974
85.0,1.0,101.87,101.79,101.74,101.76,3158974
85.0,2.0,101.91,101.95,101.72,101.92,3158974
85.0,3.0,101.81,101.95,101.91,101.94,3158974
85.0,4.0,101.83,101.93,102.04,101.94,3158974
85.0,5.0,101.85,101.94,101.95,101.75,3158974
85.0,6.0,101.95,101.9,102.04,101.86,3158974
85.0,7.0,101.92,101.78,101.84,101.85,3158974
85.0,8.0,101.92,102.0,101.84,101.86,3158974
85.0,9.0,102.05,102.09,102.05,102.0,3158974
1.0,1.0,101.74,101.76,101.81,101.78,3158974
1.0,2.0,101.92,101.92,101.85,101.99,3158974
1.0,3.0,101.91,101.86,101.83,101.93,3158974
1.0,4.0,101.93,102.14,102.09,102.01,3158974
1.0,5.0,101.87,101.84,101.83,101.95,3158974
1.0,6.0,101.92,101.89,101.92,101.93,3158974
1.0,7.0,102.03,101.85,101.85,101.89,3158974
1.0,8.0,101.92,101.9,102.05,101.88,3158974
1.0,9.0,101.83,101.86,101.88,101.71,3158974
